iter	Passed	Remaining
479	4461	4833
480	4470	4823
481	4479	4814
482	4488	4804
483	4497	4794
484	4506	4784
485	4514	4775
486	4523	4765
487	4532	4755
488	4541	4745
489	4550	4736
490	4559	4726
491	4568	4716
492	4576	4706
493	4585	4696
494	4594	4687
495	4604	4678
496	4616	4672
497	4627	4664
498	4637	4656
499	4647	4647
500	4656	4638
501	4673	4636
502	4684	4628
503	4694	4619
504	4703	4610
505	4713	4601
506	4723	4593
507	4733	4584
508	4743	4575
509	4753	4566
510	4763	4558
511	4772	4548
512	4781	4539
513	4791	4530
514	4800	4521
515	4810	4512
516	4819	4502
517	4828	4492
518	4837	4483
519	4845	4472
520	4854	4463
521	4864	4454
522	4873	4445
523	4882	4435
524	4891	4425
525	4901	4416
526	4910	4407
527	4919	4397
528	4928	4387
529	4937	4378
530	4946	4369
531	4955	4359
532	4965	4350
533	4974	4341
534	4984	4332
535	4993	4323
536	5003	4314
537	5013	4305
538	5022	4295
539	5032	4286
540	5040	4276
541	5049	4267
542	5059	4258
543	5069	4249
544	5078	4239
545	5088	4231
546	5097	4221
547	5106	4211
548	5114	4201
549	5123	4191
550	5132	4182
551	5140	4172
552	5150	4162
553	5158	4153
554	5167	4143
555	5176	4133
556	5185	4124
557	5194	4114
558	5203	4105
559	5212	4095
560	5221	4085
561	5230	4076
562	5239	4066
563	5248	4057
564	5257	4047
565	5265	4037
566	5274	4027
567	5284	4019
568	5293	4009
569	5302	4000
570	5311	3990
571	5320	3980
572	5328	3971
573	5337	3961
574	5346	3951
575	5355	3942
576	5364	3932
577	5373	3923
578	5382	3913
579	5391	3903
580	5399	3894
581	5408	3884
582	5417	3874
583	5426	3865
584	5434	3855
585	5442	3844
586	5450	3835
587	5459	3825
588	5468	3815
589	5477	3806
590	5486	3796
591	5494	3786
592	5504	3777
593	5513	3768
594	5523	3759
595	5534	3751
596	5543	3742
597	5553	3733
598	5566	3726
599	5575	3717
600	5584	3707
601	5595	3699
602	5604	3689
603	5613	3680
604	5621	3670
605	5630	3660
606	5640	3651
607	5649	3642
608	5658	3633
609	5667	3623
610	5677	3614
611	5686	3604
612	5695	3595
613	5705	3587
614	5715	3577
615	5724	3568
616	5733	3558
617	5742	3549
618	5751	3540
619	5761	3531
620	5770	3521
621	5779	3512
622	5789	3503
623	5798	3494
624	5807	3484
625	5817	3475
626	5826	3466
627	5835	3456
628	5845	3447
629	5855	3439
630	5865	3430
631	5876	3421
632	5886	3412
633	5895	3403
634	5905	3394
635	5915	3385
636	5925	3376
637	5934	3367
638	5943	3357
639	5953	3348
640	5962	3339
641	5972	3330
642	5982	3321
643	5991	3312
644	6000	3302
645	6009	3293
646	6018	3283
647	6027	3274
648	6036	3264
649	6045	3255
650	6054	3245
651	6063	3236
652	6072	3227
653	6082	3218
654	6091	3208
655	6101	3199
656	6110	3189
657	6119	3180
658	6128	3171
659	6137	3161
660	6146	3152
661	6155	3142
662	6164	3133
663	6172	3123
664	6181	3114
665	6191	3104
666	6200	3095
667	6210	3086
668	6220	3077
669	6231	3069
670	6241	3060
671	6250	3050
672	6261	3042
673	6272	3033
674	6281	3024
675	6291	3015
676	6301	3006
677	6311	2997
678	6322	2988
679	6333	2980
680	6343	2971
681	6353	2962
682	6363	2953
683	6372	2944
684	6382	2934
685	6393	2926
686	6403	2917
687	6413	2908
688	6423	2899
689	6433	2890
690	6443	2881
691	6452	2871
692	6462	2863
693	6473	2854
694	6481	2844
695	6491	2835
696	6500	2825
697	6509	2816
698	6518	2806
699	6527	2797
700	6536	2788
701	6545	2778
702	6554	2768
703	6562	2759
704	6570	2749
705	6579	2740
706	6590	2731
707	6601	2722
708	6609	2712
709	6619	2703
710	6629	2694
711	6639	2685
712	6654	2678
713	6663	2669
714	6673	2660
715	6683	2651
716	6693	2642
717	6703	2632
718	6712	2623
719	6723	2614
720	6732	2605
721	6742	2596
722	6752	2586
723	6761	2577
724	6769	2567
725	6779	2558
726	6788	2549
727	6799	2540
728	6809	2531
729	6818	2521
730	6827	2512
731	6836	2502
732	6845	2493
733	6854	2484
734	6863	2474
735	6872	2465
736	6881	2455
737	6889	2445
738	6899	2436
739	6908	2427
740	6917	2417
741	6926	2408
742	6935	2399
743	6945	2389
744	6954	2380
745	6963	2371
746	6973	2361
747	6981	2352
748	6990	2342
749	6999	2333
750	7008	2323
751	7017	2314
752	7026	2304
753	7035	2295
754	7044	2285
755	7053	2276
756	7062	2266
757	7071	2257
758	7079	2248
759	7089	2238
760	7099	2229
761	7108	2220
762	7117	2210
763	7126	2201
764	7136	2192
765	7145	2182
766	7155	2173
767	7164	2164
768	7174	2155
769	7184	2145
770	7194	2136
771	7203	2127
772	7213	2118
773	7222	2109
774	7232	2099
775	7241	2090
776	7250	2080
777	7259	2071
778	7269	2062
779	7278	2052
780	7287	2043
781	7297	2034
782	7306	2025
783	7316	2015
784	7325	2006
785	7335	1997
786	7343	1987
787	7353	1978
788	7362	1968
789	7371	1959
790	7380	1950
791	7389	1940
792	7399	1931
793	7409	1922
794	7419	1913
795	7428	1903
796	7437	1894
797	7447	1885
798	7457	1876
799	7467	1866
800	7477	1857
801	7488	1848
802	7498	1839
803	7509	1830
804	7522	1822
805	7531	1812
806	7542	1803
807	7553	1794
808	7562	1785
809	7573	1776
810	7582	1767
811	7590	1757
812	7599	1747
813	7608	1738
814	7618	1729
815	7626	1719
816	7635	1710
817	7644	1700
818	7653	1691
819	7661	1681
820	7669	1672
821	7678	1662
822	7688	1653
823	7697	1644
824	7707	1634
825	7717	1625
826	7726	1616
827	7735	1606
828	7744	1597
829	7755	1588
830	7765	1579
831	7774	1569
832	7783	1560
833	7793	1551
834	7802	1541
835	7811	1532
836	7819	1522
837	7828	1513
838	7836	1503
839	7846	1494
840	7855	1485
841	7864	1475
842	7873	1466
843	7882	1457
844	7892	1447
845	7902	1438
846	7913	1429
847	7923	1420
848	7932	1410
849	7941	1401
850	7950	1392
851	7959	1382
852	7967	1373
853	7976	1363
854	7985	1354
855	7994	1344
856	8002	1335
857	8011	1325
858	8021	1316
859	8033	1307
860	8042	1298
861	8052	1289
862	8061	1279
863	8070	1270
864	8079	1260
865	8089	1251
866	8099	1242
867	8108	1233
868	8117	1223
869	8126	1214
870	8134	1204
871	8143	1195
872	8152	1186
873	8161	1176
874	8170	1167
875	8179	1157
876	8188	1148
877	8197	1139
878	8206	1129
879	8215	1120
880	8224	1110
881	8233	1101
882	8242	1092
883	8251	1082
884	8260	1073
885	8267	1063
886	8276	1054
887	8285	1044
888	8294	1035
889	8302	1026
890	8311	1016
891	8320	1007
892	8329	998
893	8338	988
894	8347	979
895	8356	969
896	8364	960
897	8373	951
898	8382	941
899	8389	932
900	8398	922
901	8407	913
902	8416	904
903	8426	894
904	8435	885
905	8445	876
906	8455	866
907	8464	857
908	8474	848
909	8484	839
910	8494	829
911	8504	820
912	8513	811
913	8523	801
914	8532	792
915	8542	783
916	8552	774
917	8564	764
918	8585	756
919	8702	756
920	8721	748
921	8731	738
922	8756	730
923	8779	722
924	8790	712
925	8800	703
926	8809	693
927	8818	684
928	8827	674
929	8836	665
930	8845	655
931	8853	645
932	8862	636
933	8871	626
934	8880	617
935	8888	607
936	8897	598
937	8906	588
938	8915	579
939	8924	569
940	8933	560
941	8943	550
942	8952	541
943	8961	531
944	8969	522
945	8978	512
946	8987	503
947	8996	493
948	9005	483
949	9014	474
950	9023	464
951	9032	455
952	9041	445
953	9049	436
954	9059	426
955	9068	417
956	9076	407
957	9085	398
958	9094	388
959	9103	379
960	9112	369
961	9121	360
962	9129	350
963	9138	341
964	9147	331
965	9156	322
966	9165	312
967	9174	303
968	9183	293
969	9192	284
970	9200	274
971	9209	265
972	9219	255
973	9228	246
974	9237	236
975	9246	227
976	9255	217
977	9264	208
978	9273	198
979	9282	189
980	9290	179
981	9299	170
982	9308	160
983	9317	151
984	9326	142
985	9334	132
986	9343	123
987	9352	113
988	9361	104
989	9370	94
990	9379	85
991	9387	75
992	9396	66
993	9405	56
994	9414	47
995	9423	37
996	9432	28
997	9441	18
998	9450	9
999	9458	0
